id,actval,predval
2105570,3.991403,3.6549816
1519494,5.225334,4.6386967
7150292,3.099197,3.0851567
7151385,1.4953249999999998,2.7961056
7215876,4.122867,4.6333456
1508783,2.549608,3.2955253
2212929,3.077359,2.2988443
2237844,3.685346,4.291798
2012312,4.805019,4.4871683
2009925,3.449262,3.1220856
4021210,3.614176,4.948288
2217086,3.046941,2.8888383
4508999,1.5540279999999997,2.702904
8103570,1.843885,2.5995462
7200457,3.882085,3.3683364
7151915,3.229667,2.230541
2219843,3.605369,2.121476
2201025,3.530339,2.8730326
1502269,2.622817,1.9909413
7200981,2.721097,2.5289237
4024389,1.710067,2.4069169
4021101,3.4399870000000004,2.4261098
2220438,1.886257,2.2375994
4066043,2.329168,2.5959709
4061264,4.71417,4.320828
7153386,2.996749,2.3350153
1508745,2.287753,2.7918339
2100169,4.329844,4.869501
4083600,3.620494,3.6209512
7155043,3.144491,3.5861616
4115811,4.423446,3.7486215
4063005,2.966545,2.374944
2210569,2.653915,2.8880818
4060449,2.460899,2.8117669
4507314,2.690773,3.1160142
4511723,5.093927000000001,4.3019648
2239644,2.696101,2.922836
2310004,5.145038,5.0261555
2014390,2.532518,2.5032704
7101092,2.967258,3.0096521
2220814,2.7790760000000003,2.93081
1503403,2.62502,3.3227205
2237869,2.403255,2.6589344
1520354,2.163737,2.4021344
7226439,2.515741,3.7026649
2240922,3.466607,2.4326518
7217150,2.3613639999999996,2.4395695
2003309,3.029931,2.7148826
4023080,2.568149,3.2802508
2105450,3.281037,4.3329983
2206177,2.500197,3.7546277
4081633,3.801214,3.7332935
1508642,2.303667,1.815175
2225045,3.1128880000000003,2.8691595
2237828,1.6825659999999998,2.151565
2310007,5.122289,4.114398
7008282,2.86514,2.9438734
2011428,2.216661,3.2175658
7150550,3.444688,2.5026338
2219275,3.011269,2.4088855
1508847,2.242193,2.0969396
7106403,1.6402869999999998,2.035483
2104943,5.057651,4.094144
2012509,2.848526,2.940134
2217985,1.762218,2.4049094
7103354,2.326602,2.3201041
2207297,2.03985,2.5790608
7212126,3.706017,3.434885
2004375,3.051804,3.2223706
2101617,3.033952,2.7482185
2200328,3.432897,3.324745
2008190,2.709753,2.5325365
4026345,2.7902249999999995,2.5346155
2008367,3.07711,2.6977162
2004966,3.4952810000000003,3.6148388
7219099,5.23521,4.827482
4022003,3.375642,2.8874736
2003784,3.351154,3.3148994
4020777,3.675802,3.517817
1504266,2.926067,2.8621771
2211278,0.8326099999999999,2.4420757
2007503,2.196355,2.5436387
1514880,4.686747,3.0734212
2224215,4.253334,3.4576688
7014148,3.889467,2.6396503
4507845,4.219195,2.5901728
4000459,3.014959,3.1913424
4112526,4.148877,3.0103917
2205032,2.45285,2.6218479
7151832,1.709668,2.7899306
4080444,1.588639,2.656968
2015362,4.161132,4.0285573
7224794,3.36646,3.1189554
1516526,4.268725,3.3823047
4062626,1.1230730000000002,1.4844053
4020158,2.012958,3.7300906
4083045,3.001827,3.0476623
4060534,2.9421419999999996,2.4867415
2236663,3.336126,3.0485897
2227899,2.7888,2.5509741
4074098,2.324708,1.9899117
4021918,3.693076,4.0707755
4074944,3.683607,3.3407607
4511396,3.754205,2.7761297
7218806,2.434575,2.4479492
7152188,3.766278,3.1590438
1518057,2.653368,2.7890477
2236172,3.48443,3.1148973
7150944,2.927642,2.980096
7012959,3.318823,2.3097792
4106471,1.929258,3.1412106
2210043,2.862149,2.0947437
1542284,3.891605,3.233241
1517485,3.219298,3.953793
4110633,2.909975,4.297471
4112466,1.475712,3.0056818
2222080,1.772814,2.1976616
7210752,2.622256,2.6855657
7053274,2.9778710000000004,2.71444
7152830,3.4175760000000004,3.1774297
4021759,2.724843,2.9143214
2220770,2.434863,1.9254467
4077033,1.81164,2.688864
4025754,3.217613,3.781756
7214490,3.593744,2.8043947
2216557,2.6711210000000003,2.5312293
4060778,3.4082729999999994,2.29931
2202945,2.4827130000000004,2.5166864
2201044,5.195595,4.8411055
4025738,2.330238,2.8718603
7203481,0.947034,2.1884973
2006959,3.710508,3.684257
7215826,0.5193460000000001,2.3278947
7029334,4.011885,4.8989725
1518571,4.033999,2.658253
7151165,3.618739,3.9233935
1511810,8.109135999999998,7.4338827
7218172,4.632112,3.6617389
1503644,1.901688,2.3351245
4070605,1.6853859999999998,2.419291
4027609,2.216229,2.5609784
8101994,2.357857,1.7714456
4029644,3.138142,3.040249
7219103,5.286977,4.7648573
2105859,4.018139,3.5819497
4083196,2.4234860000000005,2.3125079
2214320,2.730809,3.145917
4020585,3.462246,3.5221066
2007280,3.121038,4.7950773
4506718,2.559263,2.6965775
4068196,2.673198,2.1126897
2104786,5.253431,4.9702263
2001179,3.85821,3.4966984
2236296,1.92308,3.1202233
2206414,2.404875,2.9517002
2015083,4.147855000000001,4.9095507
4028953,3.75689,3.6481209
7152403,2.382111,3.4416595
4318071,5.066113,4.202002
4027732,1.421037,3.1305592
2203154,3.5082280000000003,3.633595
7206208,3.128778,2.8627214
2016007,2.057735,2.9962153
7155213,2.368857,3.1232703
2209686,2.221806,2.6735592
7111111,3.102796,3.4790022
2208860,2.4528800000000004,2.0380435
7214067,2.190068,2.4780495
4021228,2.637492,2.7162373
4028364,3.888426,3.616562
4030611,3.389073,2.2410662
4025614,2.947989,2.5822508
2217310,3.475582,2.0938458
2016609,1.720182,2.7401674
1512578,1.822924,1.8668045
4313493,1.557899,2.9192216
4115944,1.407849,3.2034006
2235652,2.567921,2.7743297
4076129,2.528178,2.4001472
1504560,3.0538450000000004,2.5456855
1516386,5.251829,5.279625
4070889,2.6000880000000004,2.6022851
4508874,2.626776,2.9235175
7101970,2.907719,3.3137786
4028732,4.931163,3.4986582
4506248,2.18429,1.8644979
2233601,2.573006,2.6900537
2013065,3.743142,3.5178947
4081474,3.371968,2.6717997
2100177,4.376325,3.353253
7215749,3.212401,2.5515966
2100663,5.123071,3.8113048
4028727,3.359368,3.4703774
1513470,1.86557,2.7891915
2017503,5.459826,3.8766382
2104364,3.359106,2.951547
